cumulative_rainfall_72h,river_level_trend,soil_saturation_index,elevation_m,risk_level
20.0,0.4,0.3,45,3
1401.4,3.0,0.7,45,3
930.1,3.0,0.7,45,3
1172.6,3.0,0.7,45,3
587.0,3.0,0.9,45,3
367.0,3.0,0.9,45,3
150.0,3.0,0.65,45,3
1778.0,3.0,0.9,45,3
286.5,3.0,0.6,45,1
1182.8,3.0,0.7,45,1
877.2,3.0,0.7,45,1
750.0,3.0,0.7,45,3
1125.0,3.0,0.7,45,3
228.5,4.57,0.6,45,3
890.0,3.0,0.9,45,2
890.0,3.0,0.9,45,3
150.0,3.0,0.65,45,3
12.8,0.26,0.3,45,3
35.0,0.7,0.3,45,2
508.0,9.91,0.7,45,3
126.7,2.53,0.45,45,3
150.0,3.0,0.45,45,3
370.0,3.0,0.9,45,3
220.0,3.0,0.8,45,3
200.0,3.0,0.65,45,3
572.0,3.0,0.7,45,3
85.0,1.7,0.5,45,3
50.0,1.0,0.1,45,3
588.9,3.0,1.0,45,0
944.0,3.0,0.7,45,3
111.86,1.6,0.4975,72.8,1
143.13,2.529,0.4714,200.4,2
100.83,1.109,0.5455,28.2,1
92.38,0.922,0.4222,158.9,1
153.16,1.935,0.6118,162.3,2
97.16,1.519,0.5159,202.0,1
122.68,1.276,0.5035,117.9,1
116.04,1.153,0.4619,76.2,1
153.08,2.237,0.5595,183.5,1
83.16,1.07,0.3792,171.4,0
182.09,1.603,0.7665,114.1,2
70.93,0.315,0.2849,170.8,0
127.18,2.024,0.4455,64.8,2
118.97,1.561,0.4863,133.0,1
67.01,0.419,0.2625,191.4,0
133.15,1.501,0.4259,75.4,2
86.97,0.913,0.2301,110.5,1
53.7,0.782,0.26,209.6,0
142.58,1.167,0.3622,177.2,1
41.12,0.04,0.1809,196.1,0
60.23,0.67,0.2027,89.7,0
100.16,1.17,0.5053,219.3,1
152.52,2.066,0.5706,40.3,2
137.76,1.275,0.6038,118.0,1
110.85,1.411,0.4117,109.6,1
32.37,0.59,0.1386,177.3,0
68.95,0.915,0.3347,200.6,0
78.47,0.879,0.2769,163.0,0
52.08,0.485,0.288,140.9,0
26.41,-0.212,0.0261,98.6,0
102.95,1.178,0.4354,116.2,0
140.17,2.19,0.6345,116.0,2
74.79,0.782,0.352,12.3,2
151.46,1.636,0.7592,114.6,1
37.76,0.076,0.09,189.5,0
50.03,0.466,0.0898,158.4,0
101.71,1.003,0.3273,176.7,0
70.98,0.94,0.3368,90.8,1
133.85,1.827,0.5752,120.1,1
121.95,1.773,0.496,15.1,3
74.08,1.24,0.2065,89.2,1
40.31,0.694,0.2226,108.6,0
68.99,0.34,0.178,62.1,0
123.59,1.21,0.5871,14.6,2
136.76,1.752,0.7756,154.4,1
71.17,0.603,0.314,100.2,0
26.3,-0.257,0.1518,96.1,0
36.31,0.084,0.1058,61.0,0
118.1,1.165,0.3276,122.0,1
73.35,0.518,0.2452,100.9,0
74.42,0.638,0.2102,108.5,1
49.5,0.798,0.0822,131.1,0
48.88,0.573,0.3333,9.3,2
150.07,2.727,0.6221,200.4,1
120.43,1.511,0.5121,23.1,2
63.33,0.523,0.2286,103.6,0
97.52,1.11,0.3762,52.0,1
107.27,1.38,0.5063,119.0,1
218.08,2.954,0.8697,67.4,3
46.21,1.145,0.2273,190.3,0
106.48,0.937,0.4102,92.0,1
149.66,2.132,0.5713,143.4,1
204.44,2.629,0.7052,60.8,2
61.34,-0.02,0.0871,12.1,1
72.78,1.028,0.2702,93.7,1
134.55,2.08,0.5427,121.7,1
31.98,-0.154,0.025,105.4,0
112.42,1.319,0.4469,211.9,1
260.29,2.77,1.0,157.8,3
119.08,0.89,0.3038,219.1,0
16.82,0.319,0.0,70.6,0
54.15,0.361,0.2492,175.3,0
62.54,0.253,0.2811,125.8,0
168.48,2.143,0.5816,137.7,2
84.56,0.757,0.3509,217.0,0
26.61,-0.001,0.1882,146.6,0
90.29,1.304,0.4233,198.5,1
100.98,0.753,0.3963,161.9,0
67.61,0.361,0.233,35.0,1
48.33,0.455,0.143,156.3,0
275.49,3.895,1.0,110.7,3
149.93,2.29,0.6153,202.8,1
157.34,1.745,0.6797,179.0,1
84.66,1.269,0.3492,30.1,2
60.69,0.358,0.3083,36.4,0
69.67,1.368,0.2862,22.8,2
37.69,-0.088,0.2135,112.6,0
215.8,3.271,0.9329,25.1,3
86.72,0.702,0.2825,161.4,0
189.64,3.037,0.6139,125.1,2
71.76,1.023,0.4105,185.2,1
120.05,1.085,0.5007,67.3,1
104.2,0.957,0.2797,118.1,1
34.94,0.484,0.0827,32.9,0
230.58,3.377,0.9841,195.5,3
73.1,0.737,0.27,45.1,1
43.28,0.351,0.1322,29.7,1
135.14,1.963,0.6526,51.5,2
93.04,1.057,0.2884,178.9,0
113.99,0.861,0.3921,30.4,1
98.61,0.854,0.4113,138.3,1
18.35,0.105,0.1046,166.2,0
52.96,0.937,0.2515,167.2,0
51.6,1.074,0.2793,48.3,1
156.08,2.216,0.6402,21.1,3
95.1,1.201,0.4195,103.1,1
124.13,1.74,0.4758,50.9,1
75.83,0.581,0.3083,156.2,1
127.59,1.487,0.519,83.6,2
84.78,0.657,0.3563,103.3,1
81.11,0.479,0.3863,32.1,1
103.79,1.342,0.4596,128.3,1
98.6,1.197,0.3979,47.3,2
323.82,4.377,1.0,151.9,3
52.57,0.68,0.2157,23.1,1
32.19,0.284,0.1265,214.9,0
112.56,1.528,0.4657,153.1,1
57.56,0.629,0.4067,46.5,0
16.54,0.105,0.0243,11.0,0
44.83,0.14,0.2131,78.9,0
285.32,3.803,1.0,40.4,3
51.65,0.711,0.2144,54.3,0
24.61,-0.046,0.2854,193.0,0
275.59,3.575,1.0,135.9,3
43.63,0.156,0.2005,45.4,0
377.29,4.593,1.0,126.0,3
73.83,0.376,0.2672,62.2,0
231.1,3.438,0.9443,215.0,3
80.0,1.277,0.3877,14.9,2
120.45,1.637,0.5073,163.3,1
85.89,1.693,0.4443,171.9,1
80.37,0.805,0.3139,22.2,2
107.24,2.299,0.4024,44.4,3
122.96,1.5,0.7082,89.5,2
102.5,1.29,0.4415,192.0,1
96.4,0.932,0.3281,121.8,1
57.87,0.663,0.1759,146.9,0
87.88,1.235,0.2761,174.0,1
215.23,2.761,0.9358,183.6,2
56.16,1.144,0.1955,109.0,0
109.07,1.366,0.4465,115.9,1
179.31,2.352,0.7121,160.2,2
123.55,1.191,0.5527,63.8,1
157.01,2.061,0.5603,189.2,2
43.17,0.264,0.0866,12.4,1
109.23,1.075,0.4549,49.5,2
77.61,0.589,0.3585,177.6,0
79.66,1.814,0.3452,80.1,1
205.23,2.499,0.7562,39.8,3
80.44,0.393,0.376,47.6,1
111.29,1.034,0.3857,120.5,1
24.63,0.056,0.0568,187.4,0
230.96,3.137,0.8483,23.0,3
151.92,2.123,0.7118,14.5,3
89.87,1.27,0.4102,106.6,1
75.49,0.605,0.3504,210.7,0
130.75,1.75,0.6228,67.2,2
178.1,2.049,0.9374,211.3,2
232.7,2.723,0.7941,196.2,2
149.11,1.487,0.5374,68.0,1
97.19,0.67,0.3395,181.2,0
162.09,2.358,0.5803,153.4,2
145.57,1.986,0.4961,116.5,1
97.41,1.444,0.3657,97.7,1
143.16,1.719,0.4753,180.9,2
141.64,2.018,0.5934,176.1,1
89.56,0.389,0.3624,168.5,0
66.73,1.006,0.3054,219.6,0
134.72,1.718,0.5795,109.4,2
46.56,0.645,0.2345,179.1,0
39.64,0.423,0.1287,190.8,0
112.33,1.062,0.619,52.9,2
132.63,1.092,0.5493,16.9,3
