cumulative_rainfall_72h,river_level_trend,soil_saturation_index,elevation_m,risk_level
20.0,0.4,0.3,45,3
1401.4,3.0,0.7,45,3
930.1,3.0,0.7,45,3
1172.6,3.0,0.7,45,3
587.0,3.0,0.9,45,3
367.0,3.0,0.9,45,3
150.0,3.0,0.65,45,3
1778.0,3.0,0.9,45,3
286.5,3.0,0.6,45,1
1182.8,3.0,0.7,45,1
877.2,3.0,0.7,45,1
750.0,3.0,0.7,45,3
1125.0,3.0,0.7,45,3
228.5,4.57,0.6,45,3
890.0,3.0,0.9,45,2
890.0,3.0,0.9,45,3
150.0,3.0,0.65,45,3
12.8,0.26,0.3,45,3
35.0,0.7,0.3,45,2
508.0,9.91,0.7,45,3
126.7,2.53,0.45,45,3
150.0,3.0,0.45,45,3
370.0,3.0,0.9,45,3
220.0,3.0,0.8,45,3
200.0,3.0,0.65,45,3
572.0,3.0,0.7,45,3
85.0,1.7,0.5,45,3
50.0,1.0,0.1,45,3
588.9,3.0,1.0,45,0
944.0,3.0,0.7,45,3
